Crop,Nutrient Level (N-P-K mg/kg),Recommended Supplement,Proportion (N:P:K),Quantity (kg/acre),Application Frequency,Method of Application
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
