Soil_Type,Crop
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Groundnut
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
Red Sandy Loam - Fine Sandy Loam,Pulses
